PairID,Protocol/Results,PMCID,Link,Text,Handling missing data (check all that were reported),Used full article
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,"...The overall medication compliance during the trial should be at least 75%; if the medication compliance is less than 75%, the participant will be considered inadequate and excluded from the per-protocol (PP) analysis group....Efficacy evaluation will be primarily based on the intention-to-treat (ITT) analysis, and PP analysis will be used as a secondary analysis. ITT analysis will be conducted for all subjects randomised, and PP analysis will be conducted for those who completed the entire trial without violating the protocol....Analyses of secondary outcomes will be carried out as follows: QCSCS and LCQ-K-acute by ANCOVA including its baseline value respectively; frequency of coughing fits by linear mixed models (LMMs); Integrative Medicine Outcome Scale and Integrative Medicine Patient Satisfaction Scale by analysis of variance (ANOVA); and withdrawal rate of patients with exacerbation by Pearson‚Äôs œá2 or Fisher‚Äôs exact tests. To handle missing values when processing ITT analysis, the last-observation-carried- forward method will be used except for frequency of coughing fits analysed with LMMs in which missing values need not to be imputed....",Mixed effects  | Single imputation,No
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,"...The efficacy evaluation analysis in this study was mainly a full analysis set (FAS) analysis based on the intention-to-treat (ITT) analysis, and the per protocol (PP) analysis was the secondary analysis....To handle missing values when processing ITT analysis, the last-observation-carried-forward method was used except for the frequency of coughing fits analyzed with LMMs in which missing values will not be imputed. Safety assessment was performed using ITT analysis; all participants were randomized....",Mixed effects  | Single imputation,No
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,,Not reported,No
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,"...We included all 443 participants in the analysis (intent-to-treat)....Because this was an intent-to- treat model, we used the medical record reports of randomized women to ascertain completion of Pap testing....",Not reported,Yes
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,"...The study will use an intention to treat analysis and so every patient randomized will be included in the analysis for the primary endpoint. A separate analysis (per-protocol) will also be performed that will only include patients who actually received the study medication....#### 2.11.3. Missing data and dropouts. Patients who dropout from the study early will still be able to undergo their IVF treatment without adversely affecting their cycle. If they were randomized prior to withdrawal they will be included in the intention to treat analysis. Dropout from the study will be considered failure of treatment. As a result, for the primary endpoint of live birth, dropout will be equivalent to no livebirth. Therefore, there will be no missing data for the primary endpoint. Other outcome variables may have missing data due to missed visits or dropout from study treatment. These will be considered as missing data at random....",Single imputation | Not reported,No
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,"...All randomized subjects were included in the analysis of the primary efficacy endpoint (intention-to-treat analysis). For analyses of other outcome variables, only subjects who were randomized and received the study medication and underwent a fresh embryo transfer were included (per-protocol analysis)....",Not reported,Yes
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,...Data will be analysed following ‚Äòintention-to-treat‚Äô principles....,Mixed effects ,Yes
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,"...The data were analyzed following the principle of intention to treat (ITT). For this purpose, missing data were imputed based on the multivariate and multinomial normal distribution using the Markov chain Monte Carlo (MCMC) algorithm [35], with 10 replications being performed....",Multiple imputation ,No
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,"...All main analyses will be assessed by both ‚ÄòIntention to Treat‚Äô (ITT) and ‚ÄòAs Per Protocol‚Äô (APP) approaches. Specifically, if there is significant non- adherence, the ITT approach is less likely to find a statistically significant effect since non-adherent individuals are included with their assigned adherent participants....The subsequent APP approach only includes adherent participants in the active, as defined by blood elevations in omega-3 HUFAs, and adherent participants in placebo groups, as defined by increases in blood 16:1 n-7, and seeks to assess whether oral supplementation is an efficacious strategy to improve outcomes....",Not reported,Yes
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,"...All hypotheses were tested using ITT and APP approaches. In the ‚Äòintent to treat‚Äô analyses, all participants randomized to the experimental treatment group were compared to all participants randomized to the control group. In the ‚ÄòAs Per Protocol‚Äô analyses, we classified participants based on perceived compliance with supplementation, based on blood spot sample analyses....For participants with Baseline and Post- Challenge data only, a Pre-Challenge value was imputed using a Markov Chain Monte Carlo algorithm for multiple imputation with ten replications under Missing at Random (MAR) assumptions....",Multiple imputation ,No
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,,Not reported,No
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,"...The analyses were performed with patients who completed all treatment sessions, and performed at least the post-treatment assessment, so the final study sample consisted of 65 patients (34 were assigned in the CBT-CC group and 31 in the TAU group) (Figure 1)....",Complete case ,No
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,"...All analyses will be done on an intent-to-treat basis....All multivariable analyses will be performed using the MIXED procedure in SAS, as this procedure allows for missing data....",Mixed effects ,No
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,"...These subjects were analyzed in the intent-to-treat analysis....Based on self-reported adherence, a per-protocol analysis was carried out, excluding those subjects who reported stopping their capsules early (n = 16) and those whose capsule continuation was unable to be ascertained (n = 4)....",Not reported,Yes
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,,Not reported,No
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,"...The primary analysis was by intention-to-treat (ITT). Interim analyses were conducted once every 15 patients had reached D28 primary endpoint assessment, using all available data and were based on the ITT analysis population....Once a decision was reached for each arm to stop, a point and interval estimate for the overall proportion cured at Day 28 (p) was obtained following Whitehead [19] based on all patient data using the ITT analysis population....This analysis was based on the ITT analysis population. A pre-specified subgroup analysis was to compare cure by sites using a œá2 or Fisher‚Äôs exact test at D210, based on the ITT analysis population....Data from all 151 enrolled patients were available for the intention-to-treat analysis: 51 for the AmBisome + SSG arm, 49 for the AmBisome + miltefosine arm and 51 for the miltefosine monotherapy arm....Therefore, 147 patients were included in the per-protocol (PP) population, 50 for the AmBisome + SSG arm, 48 for the AmBisome + miltefosine arm and 49 for the miltefosine monotherapy arm....",Mixed effects ,Yes
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,,Not reported,No
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,,Not reported,No
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,,Not reported,No
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,"...To examine the impact of attrition, two sensitivity analyses were performed where missing data were imputed at follow-up for the main outcome using cluster mean imputation and group mean imputation, respectively, as described by Taljaard et al. [24]. For the group mean imputation, the values were predicted from a regression model using only control group data to give a conservative estimate of the effect size....",Unclear  | Single imputation,No
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,"...#### Missing data strategies for primary and secondary outcomes. Only youth with 6-month post-intervention susceptibility responses will be included in the logistic regression analysis of the primary outcome as there is no reliable method to impute data for this outcome. Multiple imputations will be used for secondary outcomes for subjects with ≤45% of items missing on a given scale. Comparisons of baseline characteristics between study completers and those lost to follow-up will be performed using chi-square tests and two-sample t-tests. In addition, sensitivity analyses of the primary outcome will be performed to assess the robustness of intervention effect estimates under a variety of possible attrition bias scenarios [57]. Finally, according to CBPR we will involve the community partners in the result interpretation process. Together we will formulate a dissemination plan to return results to other interested community agencies, study participants, and the larger community.",Multiple imputation  | Complete case ,No
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,...Analyses used an intention to treat design....Multiple imputation methods in SAS (proc MI and proc MIANALYZE36) were used to generate a random sample of the missing values that represents the uncertainty due to missing data.37...,Multiple imputation ,No
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,...An intention to treat analysis will be conducted....The subsequent scores for subjects who have had an additional surgery will be imputed using the last-value-carry-forward approach; thus women who have poor scores and change treatments as a result will not be removed from the analysis at subsequent time points....,Single imputation,No
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,...Sensitivity analyses for patient-reported measures were performed after using multiple imputation with Markov chain Monte Carlo and last-observation- carried-forward methods to account for missing data in the longitudinal measures....,Multiple imputation  | Single imputation,No
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,"...Pattern of missing data will be evaluated and missing at random mechanism will be assumed [77]....Primary analysis is of intention to treat type [78,79], which gives a conservative estimate of treatment effect compared with what would be expected if there was full compliance [80]....",Mixed effects ,Yes
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,"...Missing data were imputed assuming a missing at random mechanism28. The imputation model included baseline demographics and baseline and post-intervention outcomes. Linear mixed models were used to analyze the intervention effects on BMI-z, % body fat, and aerobic performance according to intention-to-treat, with school pairs treated as a random effect and students nested within school and treatment condition....",Multiple imputation ,No
